Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG,,,
181,7/25/2012,4:33:16,11.2,0:16:32,10156,0.00E+00,0:01:10,20,13:27:50,,
182,7/25/2012,4:33:21,11.2,0:16:37,10163,0.00E+00,0:01:10,25,13:27:55,,
183,7/25/2012,4:33:26,11.1,0:16:42,10125,0.00E+00,0:01:10,21,13:28:00,,
184,7/25/2012,4:33:31,11.2,0:16:47,10170,0.00E+00,0:01:10,25,13:28:05,,
185,7/25/2012,4:33:36,11.2,0:16:52,10160,0.00E+00,0:01:10,25,13:28:10,,
186,7/25/2012,4:33:41,11.1,0:16:57,10118,0.00E+00,0:01:10,18,13:28:15,,
187,7/25/2012,4:33:47,11.1,0:17:02,10093,0.00E+00,0:01:10,23,13:28:21,,
188,7/25/2012,4:33:52,11.2,0:17:07,10145,0.00E+00,0:01:10,26,13:28:26,,
189,7/25/2012,4:33:57,11.2,0:17:12,10142,0.00E+00,0:01:10,25,13:28:31,,
190,7/25/2012,4:34:02,11.2,0:17:17,10158,0.00E+00,0:01:10,17,13:28:36,,
191,7/25/2012,4:34:07,11.2,0:17:22,10155,0.00E+00,0:01:10,30,13:28:41,,
192,7/25/2012,4:34:12,11.2,0:17:28,10155,0.00E+00,0:01:10,22,13:28:46,,
193,7/25/2012,4:34:17,11.2,0:17:33,10143,0.00E+00,0:01:10,30,13:28:51,,
194,7/25/2012,4:34:22,11.2,0:17:38,10142,0.00E+00,0:01:10,27,13:28:56,,
195,7/25/2012,4:34:27,11,0:17:43,9980,0.00E+00,0:01:10,23,13:29:01,,
196,7/25/2012,4:40:13,3.75,0:17:49,3406,0.00E+00,0:01:13,23,13:34:47,,
197,7/25/2012,4:40:18,3.01,0:17:54,2738,0.00E+00,0:01:13,21,13:34:52,,
198,7/25/2012,4:40:23,3.32,0:17:59,3017,0.00E+00,0:01:13,22,13:34:57,,
199,7/25/2012,4:40:28,2.27,0:18:04,2051,0.00E+00,0:01:13,25,13:35:02,,
200,7/25/2012,4:40:43,3.81,0:18:13,3466,0.00E+00,0:01:13,26,13:35:17,,
201,7/25/2012,4:40:48,3.65,0:18:18,3316,0.00E+00,0:01:13,21,13:35:22,,
202,7/25/2012,4:45:30,10.1,0:18:30,9157,0.00E+00,0:01:13,22,13:40:04,,
203,7/25/2012,4:45:35,10.1,0:18:35,9152,0.00E+00,0:01:13,25,13:40:09,,
204,7/25/2012,4:45:40,10.1,0:18:40,9138,0.00E+00,0:01:13,25,13:40:14,,
205,7/25/2012,4:45:45,10,0:18:45,9121,0.00E+00,0:01:13,22,13:40:19,,
206,7/25/2012,4:45:50,10,0:18:50,9128,0.00E+00,0:01:13,21,13:40:24,,
207,7/25/2012,4:45:55,0.94,0:18:55,851,1.30E+00,0:01:13,1187,13:40:29,,
208,7/25/2012,4:47:20,11.2,0:19:00,10170,0.00E+00,0:01:15,21,13:41:54,,
209,7/25/2012,4:47:25,11.2,0:19:05,10167,0.00E+00,0:01:15,18,13:41:59,,
210,7/25/2012,4:47:30,11.2,0:19:10,10160,0.00E+00,0:01:15,21,13:42:04,,
211,7/25/2012,4:47:35,11.2,0:19:15,10167,0.00E+00,0:01:15,22,13:42:09,,
212,7/25/2012,4:47:40,11.2,0:19:20,10167,0.00E+00,0:01:15,27,13:42:14,,
213,7/25/2012,4:47:45,11.2,0:19:25,10170,0.00E+00,0:01:15,20,13:42:19,,
214,7/25/2012,4:50:48,11.2,0:19:34,10218,0.00E+00,0:01:18,18,13:45:22,,
215,7/25/2012,4:50:53,11.2,0:19:40,10193,0.00E+00,0:01:18,18,13:45:27,,
216,7/25/2012,4:50:58,11.2,0:19:45,10198,0.00E+00,0:01:18,18,13:45:32,,
217,7/25/2012,4:51:03,11.2,0:19:50,10203,0.00E+00,0:01:18,26,13:45:37,,
218,7/25/2012,4:51:08,11.2,0:19:55,10192,0.00E+00,0:01:18,23,13:45:42,,
219,7/25/2012,4:51:14,11.2,0:20:00,10185,0.00E+00,0:01:18,22,13:45:48,,
220,7/25/2012,4:51:19,11.2,0:20:05,10203,0.00E+00,0:01:18,23,13:45:53,,
221,7/25/2012,4:51:24,11.2,0:20:10,10192,0.00E+00,0:01:18,17,13:45:58,,
222,7/25/2012,4:51:29,11.2,0:20:15,10187,0.00E+00,0:01:18,17,13:46:03,,
223,7/25/2012,4:51:34,11.2,0:20:20,10192,0.00E+00,0:01:18,23,13:46:08,,
